Time,Latitude,Longitude,omTemp,omFeelLike,omPrecipProb,wTemp,wFeelLike,wPrecipProb,TEMPERATURE,FEELING,PRECIPITATION
2025-6-17 3:00,48.3,14.28,16.7,17.1,0.0,12.0,11.8,0.0,14.35,14.450000000000001,0.0
2025-6-17 4:00,48.3,14.28,15.8,15.9,0.0,12.5,12.6,0.0,14.15,14.25,0.0
2025-6-17 5:00,48.3,14.28,15.7,16.1,0.0,12.9,13.6,0.0,14.3,14.850000000000001,0.0
2025-6-17 6:00,48.3,14.28,15.1,15.7,0.0,12.7,13.2,0.0,13.899999999999999,14.45,0.0
2025-6-17 7:00,48.3,14.28,14.8,15.2,0.0,12.0,12.2,0.0,13.4,13.7,0.0
2025-6-17 8:00,48.3,14.28,15.2,15.7,0.0,12.5,12.8,0.0,13.85,14.25,0.0
2025-6-17 9:00,48.3,14.28,16.4,16.9,0.0,14.4,14.4,0.0,15.399999999999999,15.649999999999999,0.0
2025-6-17 10:00,48.3,14.28,18.0,18.1,0.0,16.1,16.1,0.0,17.05,17.1,0.0
2025-6-17 11:00,48.3,14.28,19.5,20.2,0.0,18.1,18.1,0.0,18.8,19.15,0.0
2025-6-17 12:00,48.3,14.28,20.4,20.2,0.0,20.0,20.0,0.0,20.2,20.1,0.0
2025-6-17 13:00,48.3,14.28,21.4,21.7,0.0,21.2,21.2,0.0,21.299999999999997,21.45,0.0
2025-6-17 14:00,48.3,14.28,22.1,22.8,0.0,21.8,21.8,0.0,21.950000000000003,22.3,0.0
2025-6-17 15:00,48.3,14.28,23.0,22.9,0.0,21.7,21.7,0.0,22.35,22.299999999999997,0.0
2025-6-17 16:00,48.3,14.28,24.3,25.6,0.0,22.2,24.5,0.0,23.25,25.05,0.0
2025-6-17 17:00,48.3,14.28,24.5,23.9,0.0,22.5,24.6,0.0,23.5,24.25,0.0
2025-6-17 18:00,48.3,14.28,24.4,23.1,0.0,22.7,24.6,0.0,23.549999999999997,23.85,0.0
2025-6-17 19:00,48.3,14.28,24.5,23.3,0.0,22.5,24.6,0.0,23.5,23.950000000000003,0.0
2025-6-17 20:00,48.3,14.28,24.1,22.8,0.0,22.0,22.0,0.0,23.05,22.4,0.0
